Investor,Country,Count,Percentage
,China,1,33
,United States,2,67
.406 Ventures,United States,1,100
01 Advisors,United States,2,100
01 Advisors. Kleiner Perkins Caufield & Byers. Andreessen Horowitz,United States,1,100
10T Fund,Other,1,50
10T Fund,United States,1,50
14W,United States,2,100
14W. ForgeLight,United Kingdom,1,100
1955 Capital,United States,1,100
360 Capital Partners,Other,1,100
3G Capital Management,Other,1,100
3L,United States,2,100
3i Group,United Kingdom,1,100
3one4 Capital Partners,Other,2,100
3x5 Special Opportunity Partners,United States,1,100
468 Capital,Other,1,100
500 Global,Other,2,100
500 Startups,Other,2,67
500 Startups,United States,1,33
58.com,China,2,100
5Y Capital,China,3,100
83North,Other,3,75
83North,United States,1,25
8VC,United States,8,100
A&E Television Networks,United States,1,100
A&NN,Other,1,100
A91 Partners,Other,1,100
ACE & Company,United States,1,100
AF Ventures,United States,1,100
AME Cloud Ventures,Canada,1,33
AME Cloud Ventures,United States,2,67
AMF Pensionsforsakring,Other,1,100
ARCH Venture Partners,United States,2,100
AU21,United States,1,100
AWZ Ventures,Other,1,100
AXA Venture Partners,United States,1,100
Accel,Canada,1,2
Accel,Other,21,33
Accel,United Kingdom,4,6
Accel,United States,37,59
Accel India,Other,1,100
Accel Partners,China,1,20
Accel Partners,Other,2,40
Accel Partners,United States,2,40
Accelm Scania Growth Capital,Other,1,100
Access Industries,United Kingdom,2,67
Access Industries,United States,1,33
Accomplice,Canada,1,20
Accomplice,United States,4,80
Acero Capital,United States,1,100
Activant Capital,Other,1,50
Activant Capital,United States,1,50
Activant Capital Group,United States,1,100
Acton Capital Partners,Other,1,100
Adams Street Partners,Canada,1,50
Adams Street Partners,United States,1,50
Addition,United States,4,100
Advance Venture Partners,United States,1,100
Advancit Capital,United States,1,100
Advantech Capital,China,1,100
Advent International,Other,3,38
Advent International,United States,5,62
Affirma Capital,China,1,100
Afore Capital,United States,1,100
Aglae Ventures,Other,3,100
Ainge Advisory,United States,1,100
AirTree Ventures,Other,2,100
Airbus Ventures,United States,1,100
Ajinomoto,Other,1,100
Aker,Other,1,100
Alaska Permanent Fund,United States,2,100
Aleph,Other,2,40
Aleph,United States,3,60
Alexandria Venture Investments,United States,2,100
Alibaba Entrepreneurs Fund,Other,1,100
Alibaba Group,China,7,78
Alibaba Group,Other,1,11
Alibaba Group,United States,1,11
Alibaba Pictures Group,China,1,100
Alkeon Capital Management,Other,1,50
Alkeon Capital Management,United States,1,50
AllegisCyber Capital,United States,1,100
Alliance Consumer Growth,United States,1,100
Ally Bridge Group,United States,1,100
Almaz Capital Partners,United States,1,100
Alpargatas,United States,1,100
Alpha JWC Ventures,Other,3,100
Alpha Wave Global,Other,1,100
Alta Partners,United States,2,100
Alta Ventures Mexico,Other,1,100
AltaIR Capital,United States,3,100
Altamont Capital Partners,United Kingdom,1,100
Altimeter Capital,United States,3,100
Altitude Life Science Ventures,United States,1,100
Altitude Life Science Ventures. T. Rowe Price,United States,1,100
Altos Ventures,Other,1,33
Altos Ventures,United States,2,67
Alumni Ventures Group,United States,2,100
Alven Capital,Other,3,60
Alven Capital,United States,2,40
Amadeus Capital Partners,Other,1,50
Amadeus Capital Partners,United Kingdom,1,50
Amasia,Other,1,100
American Express Ventures,Canada,1,20
American Express Ventures,United Kingdom,1,20
American Express Ventures,United States,3,60
American Family Ventures,United States,2,100
Amiti Ventures,Other,1,100
Amplify Partners,United States,2,100
Andalusian Capital Partners,Other,1,100
Andreessen Horowitz,Canada,1,2
Andreessen Horowitz,Other,4,7
Andreessen Horowitz,United Kingdom,1,2
Andreessen Horowitz,United States,51,89
Ant Financial Services Group,China,2,100
Ant Group,Other,1,100
Anthem Venture Partners,United States,1,100
Anthemis,United Kingdom,1,50
Anthemis,United States,1,50
Anthermis,United States,1,100
Anthos Capital,Canada,1,50
Anthos Capital,United States,1,50
Apax Partners,Other,1,100
Apeiron Investment Group,United States,1,100
Ardian,Other,1,50
Ardian,United States,1,50
Array Ventures,United States,1,100
Artiman Ventures,Canada,1,50
Artiman Ventures,United States,1,50
Artis Ventures,United States,1,100
Ascension Ventures,United States,1,100
Aspect Ventures,Other,1,50
Aspect Ventures,United States,1,50
Aspenwood Ventures,United States,1,100
Asset Management Ventures,United States,1,100
Astanor Ventures,Other,1,100
Astorg Partners,Other,1,100
Astral Capital,United States,1,100
Atinum Investment,Other,2,100
Atlantic Food Labs,Other,1,100
Atomico,Other,6,75
Atomico,United States,2,25
Atop Capital,China,1,100
Augmentum Fintech,United Kingdom,1,100
August Capital,United States,1,100
Auriga,Other,1,100
Automobile Industry Guidance Fund,China,1,100
Avenir Growth Capital,Other,1,100
Aviation Industry Corporation of China,China,1,50
Aviation Industry Corporation of China,United Kingdom,1,50
Aviv Venture Capital,Other,1,100
Ayala Corporation,Other,1,100
B Capital Group,Other,2,50
B Capital Group,United States,2,50
BA Capital,China,1,100
BAI Capital,Other,1,100
BBVA,Other,1,100
BDC Venture Capital,Canada,1,100
BDT Capital Partners,United States,1,100
BECO Capital,Other,1,100
BEENEXT,Other,2,100
BGF Ventures,United Kingdom,2,100
BMO Capital,United States,1,100
BMW i Ventures,United Kingdom,1,33
BMW i Ventures,United States,2,67
BNP Paribas,United States,1,100
BOC International,China,1,100
BOLDstart Ventures,United States,3,100
BOND,Other,1,100
BP Ventures,Other,1,100
BPI France,Other,1,100
BUILD Capital Partners,Other,1,100
Baidu,China,5,100
Baidu Capital,China,1,100
Baidu Ventures,China,1,100
Baillie Gifford & Co.,Other,1,33
Baillie Gifford & Co.,United States,2,67
Bain & Company,United States,1,100
Bain Capital,Other,2,67
Bain Capital,United States,1,33
Bain Capital Credit,United Kingdom,1,100
Bain Capital Tech Opportunities,United States,2,100
Bain Capital Ventures,United States,15,100
Balderton Capital,Other,4,57
Balderton Capital,United Kingdom,2,29
Balderton Capital,United States,1,14
Baleen Capital,Other,1,100
Ballast Point Ventures,United States,1,100
BaltCap,Other,1,100
Bank Of China Group Investment,China,1,100
Bank of China,China,1,100
Banner Ventures,United States,1,100
Banyan Capital,China,2,100
Barter Ventures,United States,1,100
Base10 Partners,Other,1,100
Baseline Ventures,United States,1,100
Battery Ventures,Other,5,28
Battery Ventures,United Kingdom,1,6
Battery Ventures,United States,12,67
Bedrock Capital,United States,2,100
Beijing Juneng Hesheng Industry Investment Fund,China,1,100
Beijing Shuju Xinrong Fund,China,1,100
Benchmark,Other,2,17
Benchmark,United States,10,83
Benhcmark,United States,1,100
Berkshire Partners,United States,1,100
Bertelsmann Asia Investments,China,2,100
Bertelsmann India Investments,Other,2,100
Bessemer Venture Partners,Canada,1,4
Bessemer Venture Partners,Other,9,32
Bessemer Venture Partners,United States,18,64
Betaworks Ventures,United States,1,100
Better Tomorrow Ventures,United States,1,100
Beyond Net Zero,Other,1,100
Bezos Expeditions,United States,2,100
Big Bets,Other,1,100
Bjarke Ingels Group,United States,1,100
Black Pearl Ventures,Other,1,100
BlackRock,Other,3,27
BlackRock,United States,8,73
Blackbird Ventures,Other,3,100
Blackrock,Other,1,33
Blackrock,United States,2,67
Blackstone,Other,4,36
Blackstone,United States,7,64
Bling Capital,United States,2,100
BlockTower Capital,United States,1,100
Blockchain Capital,Canada,1,50
Blockchain Capital,United States,1,50
Bloomberg Beta,United States,2,100
Blu Venture Investors,United States,1,100
Blue Cloud Ventures,United States,3,100
Blue Label Telecoms,Other,1,100
Blue Lake Capital,China,1,100
BlueCross BlueShield Venture Partners,United States,1,100
BlueRun Ventures,China,1,100
Blumberg Capital,Canada,1,33
Blumberg Capital,United States,2,67
Blume Ventures,Other,3,100
Bnk To The Future,United States,1,100
Bojiang Capital,China,1,100
Bolt Ventures,United States,1,100
Bond,Other,1,20
Bond,United States,4,80
Bond Capital,Other,1,100
Bonfire Ventures,Canada,1,100
Boost VC,United States,1,100
Borui Capital,China,1,100
Bow Wave Capital,Other,1,100
BoxGroup,United States,2,100
Boxin Capital,China,1,100
Boyu Capital,China,1,33
Boyu Capital,Other,2,67
Breakthrough Energy Ventures,United States,4,100
Breega Capital,Other,1,100
Bregal Sagemount,United States,1,100
Breyer Capital,United States,1,100
Bright Venture Capita,China,1,100
Brighton Park Capital,United States,1,100
British Patient Capital,United Kingdom,1,100
Brookfield Asset Management,United States,1,100
Broom Ventures,United States,1,100
Buckley Ventures,United States,1,100
Buhuo Venture Capital,China,1,100
Builders VC,United States,1,100
Burda Principal Investments,Other,1,100
C5 Capital,United States,1,100
CDH Investments,China,3,100
CDIB Capital,Other,1,100
CE-Ventures,Other,1,100
CITIC Securities International,China,1,100
CJ ENM,United States,1,100
CMB International Capital,China,1,100
CMC Capital Partners,China,1,100
CMFG Ventures,United States,2,100
CPP Investment Board,United Kingdom,1,100
CR Capital Mgmt,China,1,100
CRE Venture Capital,United States,2,100
CRV,United States,15,100
CSC Group,China,1,100
CVC Capital Partners,United Kingdom,1,50
CVC Capital Partners,United States,1,50
CVF Capital Partners,United States,1,100
CVS Health,United States,1,100
Cadenza Ventures,United States,1,100
Caffeinated Capital,Other,1,14
Caffeinated Capital,United States,6,86
Caisse de depot et placement du Quebec,United States,1,100
Camber Creek,United States,1,100
Cambridge Innovation Capital,United Kingdom,1,100
Canaan Partners,Other,2,50
Canaan Partners,United States,2,50
Canapi Ventures,United States,2,100
Capital One Growth Ventures,Canada,1,100
Capital Today,China,4,100
Capricorn Investment Group,United States,2,100
Carlson Private Capital Partners,United States,1,100
Carrick Capital Partners,United States,1,100
Casa Verde Capital,United States,1,100
Casdin Capital,United States,1,100
Caterpillar,United States,1,100
Cathay Innovation,United States,1,100
Causeway Media Partners,United States,1,100
Cedarlake Capital,China,1,100
Centralway,Other,1,100
Centurium Capital,China,1,100
Cercano Management,United States,1,100
Charoen Pokphand Group,Other,1,100
Charter Venture Capital,United States,1,100
Chengwei Capital,China,1,100
Cherry Ventures,Other,2,100
Chicago Ventures,United States,2,100
China Broadband Capital,China,1,100
China Capital Investment Group,China,1,100
China Construction Bank,China,1,100
China Creation Ventures,China,2,100
China Culture Industrial Investment Fund,China,1,100
China Development Bank Capital,China,1,100
China Environmental Protection Industry,China,1,100
China Everbright Investment Management,China,1,100
China Everbright Limited,China,1,100
China Fortune Land Development,China,1,100
China Fortune Ocean,China,1,100
China Grand Prosperity Investment,China,2,100
China Health Industry Investment Fund,China,1,100
China International Capital Corporation,China,1,100
China Internet Investment Fund,China,1,100
China Investment Corporation,China,1,100
China Life Insurance,China,1,100
China Life Investment Holding Company,China,1,100
China Media Group,China,2,100
China Minsheng Investment,China,1,100
China Minsheng Investment Group,China,1,100
China Prosperity Capital,China,1,100
China Reform Fund,China,1,100
China Renaissance,China,1,100
China State Capital Venture Capital Fund,China,1,100
Chiratae Ventures,Other,3,75
Chiratae Ventures,United States,1,25
Chromo Invest,United States,1,100
Chuanrong Capital,China,1,100
Circularity Capital,Other,1,100
Cisco Investments,United States,2,100
Citi Ventures,Canada,1,25
Citi Ventures,United Kingdom,1,25
Citi Ventures,United States,2,50
ClalTech,Other,1,50
ClalTech,United States,1,50
Clermont Group,United Kingdom,1,100
Clocktower Technology Ventures,Other,1,25
Clocktower Technology Ventures,United States,3,75
Co-Energy Finance,China,1,100
Co-Stone Venture Capital,China,1,100
Coatue Management,China,3,13
Coatue Management,Other,4,17
Coatue Management,United States,16,70
Coatue Managemeny,United States,1,100
